Target,StimulusType,WordFrequency,corr_ans,stimulus_list,ItemID,Set
RIDE,WORD,high,m,1,1,1
STANDING,WORD,high,m,1,2,1
FOREVER,WORD,high,m,1,3,1
LIFE,WORD,high,m,1,4,1
MOVIE,WORD,high,m,1,5,1
RULES,WORD,high,m,1,6,1
BREATHE,WORD,high,m,1,7,1
KISS,WORD,high,m,1,8,2
"TRUE ",WORD,high,m,1,9,2
FRIEND,WORD,high,m,1,10,2
NORMAL,WORD,high,m,1,11,2
MEETING,WORD,high,m,1,12,2
NICE,WORD,high,m,1,13,2
WEIRD,WORD,high,m,1,14,2
TOUCH,WORD,high,m,1,15,3
SWEAR,WORD,high,m,1,16,3
GREEN,WORD,high,m,1,17,3
FORWARD,WORD,high,m,1,18,3
SELL,WORD,high,m,1,19,3
UGLY,WORD,high,m,1,20,3
JUMP,WORD,high,m,1,21,3
